hip,ra,dec,mag,spect,con,proper,dist,bayer
4366,0.93292,27.209381,6.08,A5IV,Psc,,77.7605,
4371,0.933747,-11.266526,5.35,K4III,Cet,,168.9189,Phi-3
4382,0.935867,13.95196,6.46,G8II,Psc,,125.1564,
4383,0.936931,57.996557,6.2,K3III,Cas,,198.8072,
4422,0.944432,59.181056,4.62,G8III-IV,Cas,Castula,61.2745,Ups-2
4427,0.945143,60.71674,2.15,B0IV:evar,Cas,Cih,168.3502,Gam
4436,0.945885,38.499345,3.86,A5V,And,,39.7772,Mu
4440,0.946377,60.362836,5.56,B8V,Cas,,165.0165,
4446,0.948624,68.775657,6.39,F0m,Cas,,64.8929,
4463,0.953445,23.417648,4.4,G8III-IV,And,,70.4225,Eta
4475,0.955435,61.421895,6.44,G8IV,Cas,,198.8072,
4501,0.961012,45.839379,6.1,K2III,And,,134.0483,
4510,0.963931,28.992217,5.44,G6III,Psc,,198.8072,
4520,0.965142,13.695865,6.3,G8III,Psc,,148.5884,
4552,0.970615,33.950885,5.99,K0,And,,56.3698,
4558,0.971915,21.404495,6.47,A2V,Psc,,129.7017,
4563,0.972834,-60.696239,6.23,Am,Tuc,,171.2329,
4572,0.975285,66.351793,5.97,A0III,Cas,,107.4114,
4577,0.976766,-29.357449,4.3,B7IIIp,Scl,,238.0952,Alp
4587,0.978852,-11.379975,5.62,G7III,Cet,,98.0392,Phi-4
4655,0.997135,6.483225,6.14,M2III,Psc,,332.2259,
4675,1.000988,44.713243,5.69,B9.5Vn,And,,119.0476,
4709,1.008587,70.982988,6.4,A4IV,Cas,,109.4092,
4770,1.02174,-38.916527,5.59,K1III,Scl,,157.4803,Xi
4786,1.024179,49.54422,6.48,G5,Cas,,322.5806,
4801,1.027401,-16.265573,6.47,K2/K3III,Cet,,92.8505,
4829,1.033838,-57.002389,6.12,G8III,Phe,,120.6273,Ome
4844,1.038463,51.034938,6.48,A3V,Cas,,226.2443,
4852,1.040674,-31.552005,5.5,A1/A2IV,Scl,,71.2251,Sig
4879,1.04525,-65.456102,6.25,M2III,Tuc,,265.9574,
4889,1.046971,31.804263,5.5,B9.5V,Psc,,132.9787,Sig
4890,1.046997,-46.397311,5.39,G8III,Phe,,73.0994,
4903,1.048407,41.345157,5.95,A5m,And,,107.2961,
4906,1.049058,7.890135,4.27,K0III,Psc,,55.7414,Eps
4911,1.050423,47.376158,6.46,A9V,And,,96.0615,
4914,1.050705,-4.836601,5.4,K0III-IV,Cet,,102.2495,
4932,1.054918,-29.525848,6.28,G8IIICN...,Scl,,130.039,
4962,1.06028,61.074823,5.92,F0II,Cas,,613.4969,
4979,1.063619,1.366846,6.06,F1V,Cet,,60.1323,
4998,1.06733,52.502161,5.99,K2,Cas,,326.7974,
5021,1.072084,61.580184,5.83,F6V,Cas,,80.7754,
